Participant,Trial,Condition,Correctness,SerPos,Modality,RT1,RT2,RT3,SwitchCon,Switch,TypedTime,SpokenTime,SwitchTime,Prestime,SumRT,SumGlobRT,missing,SumPrestime,CLlocal,CLglobal,check,SP2,SP3,SP4,SP5,SPlinear,SPquad,Glob1,Glob2,Glob3,Local1,Local2,Local1retro,Local1pro,Local2retro,Local2pro
1,32,10,1,5,1,0.978,0.56,0.579,2,1,0.9776,0.67,0.293,3.2258,2.117,9.334,0,11.2658,0.656271313,0.828525271,0,0,0,0,1,0.632,0.535,0,0,1,0,1,0,0,0,0
1,33,1,1,1,2,0.532,0.509,0.482,1,0,0.9776,0.67,0.293,2.01,1.523,8.755,0,14.0342,0.757711443,0.623833207,0,0,0,0,0,-0.632,0.535,1,1,0,1,0,0,0,0,0
1,33,1,1,2,1,0.683,0.619,0.655,2,1,0.9776,0.67,0.293,3.2258,1.957,8.755,0,14.0342,0.606671213,0.623833207,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,0,1,0,0
1,33,1,1,3,1,0.58,0.616,0.575,4,0,0.9776,0.67,0.293,2.9328,1.771,8.755,0,14.0342,0.603859793,0.623833207,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,0,0,0
1,33,1,1,4,1,0.499,0.536,0.61,4,0,0.9776,0.67,0.293,2.9328,1.645,8.755,0,14.0342,0.560897436,0.623833207,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,33,1,1,5,1,0.596,0.633,0.63,4,0,0.9776,0.67,0.293,2.9328,1.859,8.755,0,14.0342,0.633865248,0.623833207,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,34,11,1,1,1,0.637,0.557,0.593,4,0,0.9776,0.67,0.293,2.9328,1.787,8.941,0,14.664,0.60931533,0.609724495,0,0,0,0,0,-0.632,0.535,1,0,0,0,0,0,0,0,0
1,34,11,1,2,1,0.633,0.592,0.667,4,0,0.9776,0.67,0.293,2.9328,1.892,8.941,0,14.664,0.645117294,0.609724495,0,1,0,0,0,-0.316,-0.267,1,0,0,0,0,0,0,0,0
1,34,11,1,3,1,0.553,0.589,0.586,4,0,0.9776,0.67,0.293,2.9328,1.728,8.941,0,14.664,0.589198036,0.609724495,0,0,1,0,0,0,-0.535,1,0,0,0,0,0,0,0,0
1,34,11,1,4,1,0.511,0.586,0.545,4,0,0.9776,0.67,0.293,2.9328,1.642,8.941,0,14.664,0.559874523,0.609724495,0,0,0,1,0,0.316,-0.267,1,0,0,0,0,0,0,0,0
1,34,11,1,5,1,0.569,0.682,0.641,4,0,0.9776,0.67,0.293,2.9328,1.892,8.941,0,14.664,0.645117294,0.609724495,0,0,0,0,1,0.632,0.535,1,0,0,0,0,0,0,0,0
1,35,2,1,1,1,0.637,0.673,0.671,4,0,0.9776,0.67,0.293,2.9328,1.981,8.655,0,14.3272,0.675463721,0.604095706,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,1,0,0,0
1,35,2,1,2,2,0.695,0.692, ,1,1,0.9776,0.67,0.293,2.303,1.387,8.655,0,14.3272,0.602257924,0.604095706,0,1,0,0,0,-0.316,-0.267,1,1,0,1,0,0,0,0,0
1,35,2,1,3,1,0.619,0.632,0.63,2,1,0.9776,0.67,0.293,3.2258,1.881,8.655,0,14.3272,0.583111166,0.604095706,0,0,1,0,0,0,-0.535,1,1,0,0,0,0,1,0,0
1,35,2,1,4,1,0.632,0.513,0.587,4,0,0.9776,0.67,0.293,2.9328,1.732,8.655,0,14.3272,0.59056192,0.604095706,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,0,0,0
1,35,2,1,5,1,0.612,0.532,0.53,4,0,0.9776,0.67,0.293,2.9328,1.674,8.655,0,14.3272,0.570785597,0.604095706,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,36,12,1,1,2,0.629,0.65,0.545,1,0,0.9776,0.67,0.293,2.01,1.824,8.362,0,10.05,0.907462687,0.832039801,0,0,0,0,0,-0.632,0.535,0,0,0,0,0,0,0,0,0
1,36,12,1,2,2,0.691,0.554,0.547,3,0,0.9776,0.67,0.293,2.01,1.792,8.362,0,10.05,0.891542289,0.832039801,0,1,0,0,0,-0.316,-0.267,0,0,0,0,0,0,0,0,0
1,36,12,1,3,2,0.603,0.582,0.409,3,0,0.9776,0.67,0.293,2.01,1.594,8.362,0,10.05,0.793034826,0.832039801,0,0,1,0,0,0,-0.535,0,0,0,0,0,0,0,0,0
1,36,12,1,4,2,0.603,0.462,0.53,3,0,0.9776,0.67,0.293,2.01,1.595,8.362,0,10.05,0.793532338,0.832039801,0,0,0,1,0,0.316,-0.267,0,0,0,0,0,0,0,0,0
1,36,12,1,5,2,0.639,0.428,0.49,3,0,0.9776,0.67,0.293,2.01,1.557,8.362,0,10.05,0.774626866,0.832039801,0,0,0,0,1,0.632,0.535,0,0,0,0,0,0,0,0,0
1,37,12,1,1,2, , , ,3,0,0.9776,0.67,0.293,2.01, ,6.68125,1,10.05, ,0.664800995,0,0,0,0,0,-0.632,0.535,0,0,0,0,0,0,0,0,0
1,37,12,1,2,2, , ,0.71,3,0,0.9776,0.67,0.293,2.01,0.71,6.68125,1,10.05,0.353233831,0.664800995,0,1,0,0,0,-0.316,-0.267,0,0,0,0,0,0,0,0,0
1,37,12,1,3,2,0.704,0.633, ,3,0,0.9776,0.67,0.293,2.01,1.337,6.68125,1,10.05,0.665174129,0.664800995,0,0,1,0,0,0,-0.535,0,0,0,0,0,0,0,0,0
