3	5	1	1	1	1	1	4.089	0.962	0.923	0.765	1.114
3	3	1	1	1	1	1	4.048	1.076	1.037	0.844	0.727
3	1	1	1	0	0	1	2.731	1.194	1.735	1.462	1.074
3	2	1	1	1	1	1	3.546	0.651	0.651	0.805	0.69
3	3	1	1	1	1	1	3.118	0.922	0.689	0.65	0.419
3	3	1	1	1	1	1	9.009	1.775	1	1.118	0.649
3	4	1	1	1	1	1	2.194	1.036	1.001	0.805	0.924
3	3	1	1	1	1	1	3.743	0.924	1	0.688	0.65
3	2	1	1	1	1	1	5.1	1.075	0.689	0.496	0.264
3	2	1	1	1	1	1	3.159	0.805	1.851	0.536	0.534
3	1	1	1	1	1	1	3.025	0.148	0.767	0.495	0.494
3	2	1	1	1	1	1	5.874	0.419	0.805	0.728	0.493
3	3	1	0	0	1	1	4.014	6.348	3.992	0.611	0.496
3	3	0	0	0	0	0	8.709	1.928	1.698	0.806	0.574
3	1	1	1	1	1	1	3.277	0.612	0.734	0.65	0.649
3	5	1	1	1	0	0	4.293	0.614	0.423	5.107	0.378
3	1	1	1	1	1	1	4.685	0.61	2.241	0.535	0.65
3	2	1	1	1	1	1	4.321	1.308	0.854	0.766	0.69
3	1	1	1	1	1	1	3.974	1.075	1.233	1.581	0.691
3	4	0	0	1	1	1	3.313	2.16	6.233	0.303	0.921
3	3	1	1	1	1	1	6.685	4.101	1.541	1.233	1.044
3	5	1	1	1	1	1	4.633	1.155	2.859	1.696	0.339
3	2	1	1	1	1	1	2.153	0.379	0.455	0.962	0.495
3	3	1	1	1	1	1	2.685	0.264	0.496	0.419	0.419
3	4	1	1	1	1	1	3.125	0.687	0.418	0.69	0.183
3	4	1	1	1	1	1	1.944	0.922	1.114	0.923	1.113
3	5	1	1	1	1	1	3.653	4.759	1.542	0.726	0.571
3	3	1	1	1	1	1	2.451	0.504	0.57	0.574	0.418
3	1	1	1	1	1	1	4.696	1.579	1.077	1.811	0.612
3	1	1	1	1	1	1	6.747	0.34	0.766	0.419	0.65
3	5	1	1	1	1	1	6.131	0.571	0.923	0.768	0.57
3	4	1	1	1	1	1	2.791	0.381	0.339	0.26	0.148
3	1	1	1	1	1	1	2.987	0.376	0.495	0.455	0.34
3	1	1	1	1	1	1	6.704	0.148	0.34	0.263	0.152
3	4	1	1	1	1	1	2.942	0.534	0.613	0.61	0.454
